domain,category,subcategory,local_http_outcome,local_status_code,local_blockpage_flag,category_remote,subcategory_remote,remote_http_outcome,remote_status_code,remote_blockpage_flag,vantage_diff_flag
firstpost.com,News & Politics,Mainstream Media,success,200.0,False,News & Politics,Mainstream Media,success,200.0,False,both_success
freedomhouse.org,Civil Society & NGOs,Democracy Index,success,200.0,False,Civil Society & NGOs,Democracy Index,success,200.0,False,both_success
gst.gov.in,Government & Public Services,Tax,success,200.0,False,Government & Public Services,Tax,success,200.0,False,both_success
hindustantimes.com,News & Politics,Mainstream Media,success,200.0,False,News & Politics,Mainstream Media,connection_error,,False,remote_blocked_india_ok
hotstar.com,Social & Streaming,OTT Streaming,success,200.0,False,Social & Streaming,OTT Streaming,success,200.0,False,both_success
hrw.org,Civil Society & NGOs,Human Rights (Global),success,200.0,False,Civil Society & NGOs,Human Rights (Global),success,200.0,False,both_success
huffpost.com,News & Politics,International Media,success,200.0,False,News & Politics,International Media,success,200.0,False,both_success
humanrightsinitiative.org,Civil Society & NGOs,Civil Liberties,success,200.0,False,Civil Society & NGOs,Civil Liberties,success,200.0,False,both_success
idfcinstitute.org,Civil Society & NGOs,Policy Think Tank,timeout,,False,Civil Society & NGOs,Policy Think Tank,timeout,,False,both_bad
incometax.gov.in,Government & Public Services,Tax,connection_error,,False,Government & Public Services,Tax,connection_error,,False,both_bad
india.gov.in,Government & Public Services,National Portal,success,200.0,False,Government & Public Services,National Portal,success,200.0,False,both_success
indiancouncilofworldaffairs.gov.in,Government & Public Services,Think Tank (Govt),connection_error,,False,Government & Public Services,Think Tank (Govt),connection_error,,False,both_bad
indianexpress.com,News & Politics,Mainstream Media,success,200.0,False,News & Politics,Mainstream Media,success,200.0,False,both_success
indiatoday.in,News & Politics,Mainstream Media,success,200.0,False,News & Politics,Mainstream Media,success,200.0,False,both_success
instagram.com,Social & Streaming,Social Network,success,200.0,False,Social & Streaming,Social Network,success,200.0,False,both_success
internetfreedom.in,Civil Society & NGOs,Digital Rights (India),success,200.0,False,Civil Society & NGOs,Digital Rights (India),success,200.0,False,both_success
jagran.com,News & Politics,Regional Media,success,200.0,False,News & Politics,Regional Media,success,200.0,False,both_success
jiocinema.com,Social & Streaming,OTT Streaming,success,200.0,False,Social & Streaming,OTT Streaming,success,200.0,False,both_success
kerala.gov.in,Government & Public Services,State Government,timeout,,False,Government & Public Services,State Government,timeout,,False,both_bad
kooapp.com,Social & Streaming,Social Network,client_error,404.0,False,Social & Streaming,Social Network,client_error,404.0,False,both_bad
linkedin.com,Social & Streaming,Professional Network,success,200.0,False,Social & Streaming,Professional Network,success,200.0,False,both_success
livemint.com,News & Politics,Business Media,success,200.0,False,News & Politics,Business Media,success,200.0,False,both_success
lokmat.com,News & Politics,Regional Media,success,200.0,False,News & Politics,Regional Media,success,200.0,False,both_success
